id,description
0,"This refreshingly sweet watermelon lemonade is made with only two ingredients and contains no added sugars, It is the perfect drink for hot summer days."
0,Recipe: Sparkling Strawberry Cucumber Mocktail
0,"Blueberries are delicious and CHEAP in the summer, so you might as well throw some into your drink. Recipe here."
0,"The Best Virgin Strawberry Daiquiri You’ll Ever Taste: this non alcoholic strawberry drink recipe is the ultimate frozen drink to enjoy this summer. It’s easy to make in your blender with just a few ingredients, and it’s sure to be a favorite treat for kids, teens, and party guests. | www.savortheflavour.com #mocktail #nonalcoholic"
0,Easy Keto Mojito
1,Vanilla Chai Old Fashioned.
1,Rabarber Gin Hass - Læskende og smuk drink med rabarber og gin
1,9 Starbucks Drinks Under 100 Calories
1,This Peach Rosé Sangria is an easy to make summer cocktail that’s perfect for a party or sipping on the patio on a hot day! #sangria #peach #rosé #wine #cocktail #summercocktail #drink
1,Pink Señoritas
2,Giggle Juice
2,Iced Mexican Mocha
2,Non-Alcoholic Sangria
2,Lavender Gin and Tonic Punch #cocktail #lavender #purple #punch #ginandtonic #gin #spring #babyshower #brunch #drinks
2,Homemade Mocha Frappuccino
3,Starbucks Pink Drink
3,Mermaid Slush
3,Cotton Candy Drinks Kids will Love
3,Color-Changing Lemonade Slushies
3,stay hydrated
4,Gingerbread White Russian.
4,Tropical Rum Punch
4,3-Ingredient Korean Strawberry Milk
4,Tropical Rum Punch
4,Delicious Malibu Bay Breeze Drink Recipe!
5,17 Best Mocktails & Virgin Drinks for Any Special Occasion - This Blue Dress
5,Mermaid Rum Punch
5,RED RASPBERRY ICED TEA
5,"Cucumber, Mint and Lime Refreshers"
5,Sparkling Rosé Margaritas | Fed & Fit
6,31 Mocktail Recipes That Go Beyond Seltzer and Fruit Juice
6,Long Beach Iced Tea | Mix That Drink
6,image of an agua fresca summer drink.
6,Boozy Whipped Coffee
6,Cherry Bourbon Smash or Cherry Bomb • The Fresh Cooky
7,Virgin Peach Daiquiri
7,Salty Dog Cocktail Recipe - The Perfect Summer Drink
7,"Raw, healthy and refreshing cucumber mint lemonade, the perfect summer drink #lemonade #plantbased #veganrecipes #summer"
7,Healthy Cucumber Lemonade
7,20 Non Alcoholic Drink Recipes
8,Sparkling Strawberry Punch is a delicious non-alcoholic punch drink recipe. Whips up in minutes and perfect for a party!
8,How to Make Whipped Coffee Three Different Ways — Eat This Not That
8,Starbucks gummy bear refresher <3
