,id,description,index
0,cdc6462c5fa6ce730e46a7c406859415.jpg,"This refreshingly sweet watermelon lemonade is made with only two ingredients and contains no added sugars, It is the perfect drink for hot summer days.",1
1,537f7a51a396e79585c1fcce593a1a80.jpg,Recipe: Sparkling Strawberry Cucumber Mocktail,2
2,72c21d9bedadc9a9f6c70847ab5a1b75--blueberry-mojito-blueberry-tarts.jpg,"Blueberries are delicious and CHEAP in the summer, so you might as well throw some into your drink. Recipe here.",3
3,31e6e62befb47cbdfa286382503bd19a.jpg,"The Best Virgin Strawberry Daiquiri You’ll Ever Taste: this non alcoholic strawberry drink recipe is the ultimate frozen drink to enjoy this summer. It’s easy to make in your blender with just a few ingredients, and it’s sure to be a favorite treat for kids, teens, and party guests. | www.savortheflavour.com #mocktail #nonalcoholic",4
4,f85c2e7e8bb4fcf2e9f6ab83fcd57012.jpg,Easy Keto Mojito,5
5,3f32941eb6f31b5b7b972da29aefa329.jpg,Vanilla Chai Old Fashioned.,6
6,bd8f147000610626d786855215211d8a.jpg,Rabarber Gin Hass - Læskende og smuk drink med rabarber og gin,7
7,666f4f3ac95b563df25ae56df8c0a133.jpg,9 Starbucks Drinks Under 100 Calories,8
8,79c0e0f1969736d769eae708baff4c56.jpg,This Peach Rosé Sangria is an easy to make summer cocktail that’s perfect for a party or sipping on the patio on a hot day! #sangria #peach #rosé #wine #cocktail #summercocktail #drink,9
9,e3b13031b186cdd6838a894136bd5e33.jpg,Pink Señoritas,10
10,a767cc4047f1d167161d68c34b1fa3b0.jpg,Giggle Juice,11
11,73accea933ecc2ac0269340718cf615e.jpg,Iced Mexican Mocha,12
12,53fb788766d83cbf8d2ec69585eb1384.jpg,Non-Alcoholic Sangria,13
13,f4a8d52c173f1d08bcd642c5541aec1c.jpg,Lavender Gin and Tonic Punch #cocktail #lavender #purple #punch #ginandtonic #gin #spring #babyshower #brunch #drinks,14
14,7d84c9fbb71f6a5bbfa3d7f5b72d747c.jpg,Homemade Mocha Frappuccino,15
15,f7854799e01511ef4f4d0763a30d353f.jpg,Starbucks Pink Drink,16
16,80e750de5eecf7799e5e93bcf1a18647.jpg,Mermaid Slush,17
17,0149982c2fc1c31600930211b7744d2a.jpg,Cotton Candy Drinks Kids will Love,18
18,579191372afc5de455953a313863ff0a.jpg,Color-Changing Lemonade Slushies,19
19,eab5c6c751d98e5d08b92350b8d6a169.jpg,stay hydrated,20
20,fc78882163bfb98dc6b439e6e354818e.jpg,Gingerbread White Russian.,21
21,e7e803efd40dbd66b1b73a5f3350c810.jpg,Tropical Rum Punch,22
22,e93032193ac2237fe460a5aaf5431c8d.jpg,3-Ingredient Korean Strawberry Milk,23
23,89c9cb4baedf58867465ddaa98b70d79.jpg,Tropical Rum Punch,24
24,f3959c27c73bd7d8084997e67f0a018a.jpg,Delicious Malibu Bay Breeze Drink Recipe!,25
25,776b676369d3679e0552245d94cb7d33.jpg,17 Best Mocktails & Virgin Drinks for Any Special Occasion - This Blue Dress,26
26,02630e42dadc6c3d940d2bcca9446ce1.jpg,Mermaid Rum Punch,27
27,c28635938594bf50988286a2dc57317a.jpg,RED RASPBERRY ICED TEA,28
28,b632397869d81c8062e0f6de348520b7.jpg,"Cucumber, Mint and Lime Refreshers",29
29,da452174a1e087d0cc8aad43076e707f.jpg,Sparkling Rosé Margaritas | Fed & Fit,30
30,61c1109532a3637460ed6e7a64704023.jpg,31 Mocktail Recipes That Go Beyond Seltzer and Fruit Juice,31
31,42d0eb4fd0a0fd67e4d03e39927c3da8.jpg,Long Beach Iced Tea | Mix That Drink,32
