,image_link,images_description
0,https://i.pinimg.com/236x/cd/c6/46/cdc6462c5fa6ce730e46a7c406859415.jpg,"This refreshingly sweet watermelon lemonade is made with only two ingredients and contains no added sugars, It is the perfect drink for hot summer days."
1,https://i.pinimg.com/236x/53/7f/7a/537f7a51a396e79585c1fcce593a1a80.jpg,Recipe: Sparkling Strawberry Cucumber Mocktail
2,https://i.pinimg.com/236x/72/c2/1d/72c21d9bedadc9a9f6c70847ab5a1b75--blueberry-mojito-blueberry-tarts.jpg,"Blueberries are delicious and CHEAP in the summer, so you might as well throw some into your drink. Recipe here."
3,https://i.pinimg.com/236x/31/e6/e6/31e6e62befb47cbdfa286382503bd19a.jpg,"The Best Virgin Strawberry Daiquiri You’ll Ever Taste: this non alcoholic strawberry drink recipe is the ultimate frozen drink to enjoy this summer. It’s easy to make in your blender with just a few ingredients, and it’s sure to be a favorite treat for kids, teens, and party guests. | www.savortheflavour.com #mocktail #nonalcoholic"
4,https://i.pinimg.com/236x/f8/5c/2e/f85c2e7e8bb4fcf2e9f6ab83fcd57012.jpg,Easy Keto Mojito
5,https://i.pinimg.com/236x/3f/32/94/3f32941eb6f31b5b7b972da29aefa329.jpg,Vanilla Chai Old Fashioned.
6,https://i.pinimg.com/236x/bd/8f/14/bd8f147000610626d786855215211d8a.jpg,Rabarber Gin Hass - Læskende og smuk drink med rabarber og gin
7,https://i.pinimg.com/236x/66/6f/4f/666f4f3ac95b563df25ae56df8c0a133.jpg,9 Starbucks Drinks Under 100 Calories
8,https://i.pinimg.com/236x/79/c0/e0/79c0e0f1969736d769eae708baff4c56.jpg,This Peach Rosé Sangria is an easy to make summer cocktail that’s perfect for a party or sipping on the patio on a hot day! #sangria #peach #rosé #wine #cocktail #summercocktail #drink
9,https://i.pinimg.com/236x/e3/b1/30/e3b13031b186cdd6838a894136bd5e33.jpg,Pink Señoritas
10,https://i.pinimg.com/236x/a7/67/cc/a767cc4047f1d167161d68c34b1fa3b0.jpg,Giggle Juice
11,https://i.pinimg.com/236x/73/ac/ce/73accea933ecc2ac0269340718cf615e.jpg,Iced Mexican Mocha
12,https://i.pinimg.com/236x/53/fb/78/53fb788766d83cbf8d2ec69585eb1384.jpg,Non-Alcoholic Sangria
13,https://i.pinimg.com/236x/f4/a8/d5/f4a8d52c173f1d08bcd642c5541aec1c.jpg,Lavender Gin and Tonic Punch #cocktail #lavender #purple #punch #ginandtonic #gin #spring #babyshower #brunch #drinks
14,https://i.pinimg.com/236x/7d/84/c9/7d84c9fbb71f6a5bbfa3d7f5b72d747c.jpg,Homemade Mocha Frappuccino
15,https://i.pinimg.com/236x/f7/85/47/f7854799e01511ef4f4d0763a30d353f.jpg,Starbucks Pink Drink
16,https://i.pinimg.com/236x/80/e7/50/80e750de5eecf7799e5e93bcf1a18647.jpg,Mermaid Slush
17,https://i.pinimg.com/236x/01/49/98/0149982c2fc1c31600930211b7744d2a.jpg,Cotton Candy Drinks Kids will Love
18,https://i.pinimg.com/236x/57/91/91/579191372afc5de455953a313863ff0a.jpg,Color-Changing Lemonade Slushies
19,https://i.pinimg.com/236x/ea/b5/c6/eab5c6c751d98e5d08b92350b8d6a169.jpg,stay hydrated
20,https://i.pinimg.com/236x/fc/78/88/fc78882163bfb98dc6b439e6e354818e.jpg,Gingerbread White Russian.
21,https://i.pinimg.com/236x/e7/e8/03/e7e803efd40dbd66b1b73a5f3350c810.jpg,Tropical Rum Punch
22,https://i.pinimg.com/236x/e9/30/32/e93032193ac2237fe460a5aaf5431c8d.jpg,3-Ingredient Korean Strawberry Milk
23,https://i.pinimg.com/236x/89/c9/cb/89c9cb4baedf58867465ddaa98b70d79.jpg,Tropical Rum Punch
24,https://i.pinimg.com/236x/f3/95/9c/f3959c27c73bd7d8084997e67f0a018a.jpg,Delicious Malibu Bay Breeze Drink Recipe!
25,https://i.pinimg.com/236x/77/6b/67/776b676369d3679e0552245d94cb7d33.jpg,17 Best Mocktails & Virgin Drinks for Any Special Occasion - This Blue Dress
26,https://i.pinimg.com/236x/02/63/0e/02630e42dadc6c3d940d2bcca9446ce1.jpg,Mermaid Rum Punch
27,https://i.pinimg.com/236x/c2/86/35/c28635938594bf50988286a2dc57317a.jpg,RED RASPBERRY ICED TEA
28,https://i.pinimg.com/236x/b6/32/39/b632397869d81c8062e0f6de348520b7.jpg,"Cucumber, Mint and Lime Refreshers"
29,https://i.pinimg.com/236x/da/45/21/da452174a1e087d0cc8aad43076e707f.jpg,Sparkling Rosé Margaritas | Fed & Fit
30,https://i.pinimg.com/236x/61/c1/10/61c1109532a3637460ed6e7a64704023.jpg,31 Mocktail Recipes That Go Beyond Seltzer and Fruit Juice
31,https://i.pinimg.com/236x/42/d0/eb/42d0eb4fd0a0fd67e4d03e39927c3da8.jpg,Long Beach Iced Tea | Mix That Drink
32,https://i.pinimg.com/236x/da/fc/e7/dafce762b6844cfbed5d406807047d93.jpg,image of an agua fresca summer drink.
33,https://i.pinimg.com/236x/3f/d4/e9/3fd4e966debbe4810a4012546a084da2.jpg,Boozy Whipped Coffee
34,https://i.pinimg.com/236x/d5/fa/71/d5fa71491ad61281e8df93aede5a1959.jpg,Cherry Bourbon Smash or Cherry Bomb • The Fresh Cooky
35,https://i.pinimg.com/236x/91/b6/10/91b6100e16f7e08a4b77755e7af6513c.jpg,Virgin Peach Daiquiri
36,https://i.pinimg.com/236x/d0/1f/a6/d01fa695e3db6d0ff9cf9055a1bd8b9d.jpg,Salty Dog Cocktail Recipe - The Perfect Summer Drink
37,https://i.pinimg.com/236x/1e/48/29/1e4829d9ded11f607d6ff5bba08b7fef.jpg,"Raw, healthy and refreshing cucumber mint lemonade, the perfect summer drink #lemonade #plantbased #veganrecipes #summer"
38,https://i.pinimg.com/236x/bf/0d/35/bf0d35b5a2153375bee03ce5f3e31b3e.jpg,Healthy Cucumber Lemonade
39,https://i.pinimg.com/236x/d4/86/80/d48680d38efd6d16be0b2fa2b519d626.jpg,20 Non Alcoholic Drink Recipes
40,https://i.pinimg.com/236x/8b/07/24/8b07244739a7b415344fd1ab49f134b1.jpg,Sparkling Strawberry Punch is a delicious non-alcoholic punch drink recipe. Whips up in minutes and perfect for a party!
41,https://i.pinimg.com/236x/1b/06/e9/1b06e9cc603ae39f4d9a3b78e794b772.jpg,How to Make Whipped Coffee Three Different Ways — Eat This Not That
42,https://i.pinimg.com/236x/19/04/2e/19042e075d2220bbbffe63dacafb300d.jpg,Starbucks gummy bear refresher <3
43,https://i.pinimg.com/236x/39/78/e9/3978e9e63887ff01c99da3ce871cf8a9.jpg,Creamy Root Beer Rum Cocktail
44,https://i.pinimg.com/236x/99/c0/3d/99c03d4bdcdf9f2c36b0f56208ee1501.jpg,"These Cucumber Melon Gin Spritzers are the most refreshing summer cocktail! They're made with a cantaloupe simple syrup, fresh mint, sliced cucumber, gin of course, and a splash of soda water! #cocktail #gin #summercocktail"
45,https://i.pinimg.com/236x/e0/4c/ed/e04cedeb80c615f30c5fc812ca5582c6.jpg,How To Make Cheap Copycat Homemade Starbucks Drinks
46,https://i.pinimg.com/236x/65/ed/2b/65ed2ba0871c0d69a0e94599f107c14a.jpg,Healthy Homemade Frappuccino
47,https://i.pinimg.com/236x/09/ca/37/09ca37784083dbb0fec41578badd58e9.jpg,"This homemade mint lemonade is refreshing, tasty and perfect for summer parties. This summer drink is made with fresh lemon juice and fresh mint and only takes minutes to make. #happyfoodstube #mint #lemonade #drink #recipe #summer #healthy #detox #vegan #refreshing #paleo via @happyfoodstube"
